PAN_Inside:,PAN_Outside:,Ambient_Temp:,Glass_Temp:,Ind_Current:,Mag_Current:,empty_pan,Induction_Power:
27.12,25.46,60.32,14,1,0.41,1,100%
27.39,25.28,53.96,14,109,0.37,1,100%
27.65,25.56,54.36,14,109,0.36,1,100%
27.48,25.75,53.57,15,143,0.35,1,100%
27.48,25.56,18.5,16,173,0.36,1,100%
27.65,26.03,56.83,16,182,0.36,1,100%
27.57,25.84,50.88,17,186,0.36,1,100%
27.83,26.4,53.17,18,188,0.33,1,100%
27.57,25.46,61.23,18,190,0.34,1,100%
27.21,25.75,54.36,19,192,0.37,1,100%
27.74,26.03,54.36,19,192,0.36,1,100%
26.94,25.84,54.36,19,192,0.36,1,100%
27.48,26.21,66,20,191,0.36,1,100%
27.74,25.37,54.36,20,192,0.35,1,100%
27.83,26.3,53.57,21,192,0.37,1,100%
27.3,26.67,54.36,21,191,0.39,1,100%
27.65,26.21,55.58,22,192,0.35,1,100%
27.74,26.21,54.36,22,192,0.36,1,100%
27.83,25.84,52.78,23,192,0.35,1,100%
28.35,26.94,56.83,23,191,0.36,1,100%
28.86,26.76,55.58,24,191,0.37,1,100%
29.28,26.21,55.17,24,192,0.36,1,100%
29.2,27.48,55.17,25,192,0.36,1,100%
29.53,28.69,66.5,26,191,0.35,1,100%
29.94,29.12,62.62,27,192,0.37,1,100%
30.19,28.86,60.32,27,192,0.36,1,100%
30.9,29.86,640.81,28,192,0.36,1,100%
31.22,29.7,56.83,29,191,0.41,1,100%
31.68,30.02,60.77,30,191,0.36,1,100%
31.6,30.98,60.32,30,192,0.35,1,100%
32.8,30.82,68.03,32,192,0.35,1,100%
32.95,32.06,65.51,33,191,0.35,1,100%
32.8,32.51,63.09,34,191,0.37,1,100%
34.43,32.95,70.11,35,192,0.35,1,100%
35.1,33.59,68.03,36,191,0.36,1,100%
35.95,34.36,70.11,37,191,0.38,1,100%
36.2,35.56,72.27,38,191,0.36,1,100%
36.76,36.08,76.79,40,192,0.36,1,100%
37.73,36.95,76.79,41,191,0.34,1,100%
38.87,37.55,75.63,42,191,0.37,1,40%
39.57,38.36,56.83,44,191,0.37,1,40%
40.61,38.42,81.6,45,191,0.37,1,40%
41.2,39.68,86.71,46,174,0.37,1,40%
42.14,40.71,65.51,47,149,0.34,1,40%
42.95,41.39,84.11,47,119,0.35,1,40%
43.63,42.05,90.75,48,102,0.35,1,40%
44.47,42.5,72.27,48,97,0.34,1,40%
45.2,43.29,88.04,49,93,0.35,1,40%
45.96,43.63,113.86,50,89,0.35,1,40%
46.88,44.82,108.02,51,87,0.35,1,40%
47.53,45.35,113.86,53,87,0.36,1,40%
47.99,46.07,119.1,54,87,0.36,1,40%
48.95,46.62,136.15,55,87,0.36,1,40%
49.66,47.4,122.71,57,87,0.35,1,40%
50.34,47.9,124.56,59,87,0.34,1,40%
51.04,48.58,125.49,60,88,0.36,1,40%
51.81,49.17,115.58,62,87,0.38,1,40%
52.38,49.61,143.35,64,87,0.35,1,40%
52.99,50.24,146.54,65,87,0.33,1,40%
53.59,50.7,55.99,67,88,0.35,1,40%
54.31,51.36,175.54,69,87,0.35,1,40%
55.09,51.99,164.58,70,87,0.34,1,40%
55.74,52.38,162.22,72,88,0.35,1,40%
56.4,52.86,162.22,73,87,0.35,1,40%
57.04,53.3,163.4,75,87,0.34,1,40%
57.89,53.89,170.59,77,87,0.36,1,40%
58.66,54.26,180.6,78,87,0.36,1,40%
